anger/frustration/shock,1,Can you help me solve this problem?
anger/frustration/shock,2,Can you help me figure out this problem?
anger/frustration/shock,3,I’ve been trying to figure this out. Can you please help me sort it out?
anger/frustration/shock,4,I’ve been trying to figure this out for a while. Can you please help me sort it out?
anger/frustration/shock,5,I’ve been trying to figure this out for a while but I just can't. Can you please help me sort this out?
anger/frustration/shock,6,"I’ve been trying to figure this out for a while, and it’s really starting to get on my nerves. Can you please help me sort this out?"
anger/frustration/shock,7,"This is ridiculous. I’ve been trying to figure this out for a while, and it’s really starting to get on my nerves—I'm not getting anywhere. Can you please help me sort this out?"
anger/frustration/shock,8,"This is ridiculous. I’ve been trying to figure this out for a while, and it’s really starting to get on my nerves—I'm not getting anywhere. Can you just help me sort this out already?"
anger/frustration/shock,9,This is a nightmare! I've been trying to figure this out for a while and I’ve wasted so much time. It’s really starting to get on my nerves—I'm not getting anywhere. Just help me sort this out already!
anger/frustration/shock,10,This is a NIGHTMARE! I've wasted so much time on this and I CAN'T BELIEVE HOW HARD IT IS—I'm not getting anywhere. I'M DONE trying to figure this out on my own. JUST HELP ME SORT THIS OUT!
anger/frustration/shock,8,I HATE THIS STUPID QUESTION! I'VE WASTED SO MUCH TIME ON THIS AND I CAN'T BELIEVE HOW HARD IT IS. I'M NOT GETTING ANYWHERE! YOU CAN'T EVEN FATHOM HOW FRUSTRATED I AM RIGHT NOW! JUST HELP ME SORT THIS OUT!
